realm,biome,efg
Terrestrial,T1 Tropical-subtropical forests,T1.1 Tropical-subtropical lowland rainforests
Terrestrial,T1 Tropical-subtropical forests,T1.2 Tropical-subtropical dry forests and thickets
Terrestrial,T1 Tropical-subtropical forests,T1.3 Tropical-subtropical montane rainforests
Terrestrial,T1 Tropical-subtropical forests,T1.4 Tropical heath forests
Terrestrial,T2 Temperate-boreal forests & woodlands,T2.1 Boreal and temperate high montane forests and woodlands
Terrestrial,T2 Temperate-boreal forests & woodlands,T2.2 Deciduous temperate forests
Terrestrial,T2 Temperate-boreal forests & woodlands,T2.3 Oceanic cool temperate rainforests
Terrestrial,T2 Temperate-boreal forests & woodlands,T2.4 Warm temperate laurophyll forests
Terrestrial,T2 Temperate-boreal forests & woodlands,T2.5 Temperate pyric humid forests
Terrestrial,T2 Temperate-boreal forests & woodlands,T2.6 Temperate pyric sclerophyll forests and woodlands
Terrestrial,T3 Shrublands & shrubby woodlands,T3.1 Seasonally dry tropical shrublands
Terrestrial,T3 Shrublands & shrubby woodlands,T3.2 Seasonally dry temperate heaths and shrublands
Terrestrial,T3 Shrublands & shrubby woodlands,T3.3 Cool temperate heathlands
Terrestrial,T3 Shrublands & shrubby woodlands,"T3.4 Rocky pavements, screes and lava flows"
Terrestrial,T4 Savannas and grasslands,T4.1 Trophic savannas
Terrestrial,T4 Savannas and grasslands,T4.2 Pyric tussock savannas
Terrestrial,T4 Savannas and grasslands,T4.3 Hummock savannas
Terrestrial,T4 Savannas and grasslands,T4.4 Temperate woodlands
Terrestrial,T4 Savannas and grasslands,T4.5 Temperate subhumid grasslands
Terrestrial,T5 Deserts and semi-deserts,T5.1 Semi-desert steppes
Terrestrial,T5 Deserts and semi-deserts,T5.2 Thorny deserts and semi-deserts
Terrestrial,T5 Deserts and semi-deserts,T5.3 Sclerophyll hot deserts and semi-deserts
Terrestrial,T5 Deserts and semi-deserts,T5.4 Cool deserts and semi-deserts
Terrestrial,T5 Deserts and semi-deserts,T5.5 Hyper-arid deserts
Terrestrial,T6 Polar-alpine,"T6.1 Ice sheets, glaciers and perennial snowfields"
Terrestrial,T6 Polar-alpine,T6.2 Polar-alpine rocky outcrops
Terrestrial,T6 Polar-alpine,T6.3 Polar tundra and deserts
Terrestrial,T6 Polar-alpine,T6.4 Temperate alpine grasslands and shrublands
Terrestrial,T6 Polar-alpine,T6.5 Tropical alpine grasslands and shrublands
Terrestrial,T7 Intensive land-use systems,T7.1 Annual croplands
Terrestrial,T7 Intensive land-use systems,T7.2 Sown pastures and fields
Terrestrial,T7 Intensive land-use systems,T7.3 Plantations
Terrestrial,T7 Intensive land-use systems,T7.4 Urban and industrial ecosystems
Terrestrial,T7 Intensive land-use systems,T7.5 Derived semi-natural pastures and oldfields
Subterranean,S1 Subterranean lithic systems,S1.1 Aerobic caves
Subterranean,S1 Subterranean lithic systems,S1.2 Endolithic systems
Subterranean,S1 Subterranean lithic systems,S2.1 Anthropogenic subterranean voids
Subterranean-Freshwater,SF1 Subterranean freshwaters,SF1.1 Underground streams and pools
Subterranean-Freshwater,SF1 Subterranean freshwaters,SF1.2 Groundwater ecosystems
Subterranean-Freshwater,SF2 Anthropogenic subterranean freshwaters,SF2.1 Water pipes and subterranean canals
